ReadMessagesIntent read messages
ReadMessagesIntent read last {numMessages} messages

StartReadConversationIntent read conversation with {coby | contact}
StartReadConversationIntent read texts from {susie | contact}

StartMessageIntent send {cary|recipient} a message
StartMessageIntent send {twilio|recipient} a message
StartMessageIntent send a message to {tang|recipient}
StartMessageIntent send a message to {twilio|recipient}


SendMessageIntent {Dinner time|message}
SendMessageIntent {Who wants to cook|message}
SendMessageIntent {Who is here|message}
SendMessageIntent {Anyone home|message}
SendMessageIntent {Hey|message}
SendMessageIntent {Whats up|message}
